,vac_rate,case_rate,total_1,employed_ratio,mean_income,popu_d,black_ratio,asian_ratio,other_ratio,hispanic_ratio,diverse index,industry_1,industry_2,industry_3,industry_4,industry_5,industry_6,industry_7,industry_8,industry_9,industry_10,industry_11,industry_12,commuting_car,commuting_time
vac_rate,1.0,-0.1687242219729562,-0.3905838108945837,0.153558085646778,0.353184164317795,-0.04491137488457481,-0.17381132469617064,0.4771830306961367,0.3334687423267919,-0.39824370782190555,0.3307670103084628,-0.35038698169972565,-0.5795008644210454,-0.271589498904868,-0.10051158763344349,-0.481430966791195,-0.48392628226988627,0.31174594241460046,0.3271602938292713,0.5130276275661716,0.2688619344102506,0.12449910078114015,-0.3397793817993486,-0.45227345880259084,-0.2914968418126211
case_rate,-0.1687242219729562,1.0,-0.031262183807730375,-0.07033216337179198,-0.1894078806013612,0.1312400899926831,-0.10261248518388064,-0.15396117294524977,-0.1783875613273536,0.28137950939778694,-0.34596576117107153,0.3996258286906482,0.26708107780251394,0.25526372390504365,0.1402888406198775,0.2402129729490481,0.055660428335793925,-0.015536880454682496,-0.22037532427533474,-0.18736498431524135,-0.3049580766826399,0.03562548675120898,-0.05102157287843467,0.03607344846970933,-0.0730023956403687
total_1,-0.3905838108945837,-0.031262183807730375,1.0,-0.17693161647129188,-0.38787732644767137,0.3032207303383364,0.21829915255846669,-0.35764876668762874,-0.4980240518478448,0.5547268136570779,-0.4060723403169936,0.2274442133600224,0.4665417238754759,0.43000795956380955,0.1906750745236062,0.30706522461352176,0.4094743918794579,-0.4320238185479843,-0.4603427817893761,-0.2792514773922214,-0.24500685061454633,0.01657354078804469,0.18067113697115164,0.10680259006889369,0.1829425360759924
employed_ratio,0.153558085646778,-0.07033216337179198,-0.17693161647129188,1.0,0.4941579678199406,-0.3610064880767599,-0.2906327821670001,0.33565900449616975,0.20682029916321104,-0.2544124979827958,0.1289234042359124,-0.03730694409020754,-0.19651939133672328,0.0040430506391139365,-0.12268282630721151,-0.12030568815339249,-0.16090195342994953,0.025447176670249032,0.3870468526510881,0.2477085296006278,0.2550874773110567,-0.36682670581040183,-0.36724678469196487,0.3798685924341608,-0.22102427737874183
mean_income,0.353184164317795,-0.1894078806013612,-0.38787732644767137,0.4941579678199406,1.0,-0.6334132830546906,-0.25773306937952545,0.23362714028271026,0.646849573117051,-0.7620103216780588,0.3613435220497798,-0.28418073029275426,-0.6870372451909343,-0.42798778473208654,-0.28093897321525274,-0.6046239142102148,-0.4947634517685847,0.5915961488838739,0.7979008178327189,0.649285128867521,0.5443059258164809,-0.43018217846629514,-0.6463499563818915,0.1575555452827016,-0.1936445107342893
popu_d,-0.04491137488457481,0.1312400899926831,0.3032207303383364,-0.3610064880767599,-0.6334132830546906,1.0,0.1851370095911812,-0.1635823118610035,-0.46473223470873787,0.5241690032324461,-0.25100513904233757,-0.07290302695084687,0.30709826698525555,0.11194314823059552,0.08913837388398305,0.2589841700869151,0.11667230893055396,-0.2510957253492473,-0.5726971156507076,-0.12323183672904926,-0.6006120802341844,0.6894926452962281,0.5833783718593252,-0.6615122927180321,0.21534549857359986
black_ratio,-0.17381132469617064,-0.10261248518388064,0.21829915255846669,-0.2906327821670001,-0.25773306937952545,0.1851370095911812,1.0,-0.20397704314759973,0.04912642199229634,-0.02066291552002121,0.17291356752800052,-0.1379011558487675,-0.06501616875405425,-0.1440393777521269,-0.030071695940389012,-0.036712357774101555,0.5486461981791491,-0.2077528940268687,-0.16546493128622064,0.06960666891386104,-0.039019891768936193,0.027735859189688426,0.19504039034965936,-0.009030599043608896,0.21699943235179794
asian_ratio,0.4771830306961367,-0.15396117294524977,-0.35764876668762874,0.33565900449616975,0.23362714028271026,-0.1635823118610035,-0.20397704314759973,1.0,0.3050881076940286,-0.44543341968695793,0.567227295028371,-0.36983116929729515,-0.5145892329670432,-0.05361215897688328,0.03347268760772973,-0.27250798587332853,-0.1529984056481746,0.012179773777174689,0.27440151834377285,0.08431390503800769,0.42146289796671127,-0.0762891048654784,-0.21964079997318653,0.02593467223078857,-0.2238577901091716
other_ratio,0.3334687423267919,-0.1783875613273536,-0.4980240518478448,0.20682029916321104,0.646849573117051,-0.46473223470873787,0.04912642199229634,0.3050881076940286,1.0,-0.8172956540032966,0.7179788784718475,-0.43328561303385255,-0.7421823495991947,-0.5457967261324055,-0.31099801008056954,-0.43261206997161156,-0.3693901567275342,0.6491814554827775,0.6361160837416573,0.48438135190176845,0.4150407725527937,-0.15342352217403965,-0.42937834525065965,-0.011398644955838153,-0.23174378799610468
hispanic_ratio,-0.39824370782190555,0.28137950939778694,0.5547268136570779,-0.2544124979827958,-0.7620103216780588,0.5241690032324461,-0.02066291552002121,-0.44543341968695793,-0.8172956540032966,1.0,-0.760406387404892,0.4529670872960389,0.8598166946090872,0.6492251077591465,0.35184263498718094,0.6441563274463511,0.43173389373972004,-0.6513438155911024,-0.7941244706698797,-0.6017353043711801,-0.5704150337518228,0.25886041692982453,0.4791833156648541,-0.008817275067017492,0.034753179341091296
diverse index,0.3307670103084628,-0.34596576117107153,-0.4060723403169936,0.1289234042359124,0.3613435220497798,-0.25100513904233757,0.17291356752800052,0.567227295028371,0.7179788784718475,-0.760406387404892,1.0,-0.525761730406077,-0.7274894424245252,-0.57116044401892,-0.44351838205881405,-0.4398335171657239,-0.32445421822446785,0.45028395660181636,0.4264154669608446,0.40424320301618877,0.4895827439815944,0.003693712535747825,-0.10744134001671107,-0.1207558223230134,-0.04259276758015344
industry_1,-0.35038698169972565,0.3996258286906482,0.2274442133600224,-0.03730694409020754,-0.28418073029275426,-0.07290302695084687,-0.1379011558487675,-0.36983116929729515,-0.43328561303385255,0.4529670872960389,-0.525761730406077,1.0,0.6025837309040022,0.4818609835795563,0.15115384739604013,0.38862852165073525,0.1858648423156444,-0.3699440588993146,-0.26261530368862435,-0.3788826825873076,-0.14089136682632428,-0.306165255263521,0.04221508334672083,0.30604299468813867,0.096075642620688
industry_2,-0.5795008644210454,0.26708107780251394,0.4665417238754759,-0.19651939133672328,-0.6870372451909343,0.30709826698525555,-0.06501616875405425,-0.5145892329670432,-0.7421823495991947,0.8598166946090872,-0.7274894424245252,0.6025837309040022,1.0,0.6260249749038553,0.3263830623616628,0.7100328819276407,0.43022169887469,-0.6339865420643923,-0.6692377510376001,-0.7005706028184965,-0.46611869089517166,-0.00730035328850685,0.4718225898422392,0.20456505089224322,0.23229157975758613
industry_3,-0.271589498904868,0.25526372390504365,0.43000795956380955,0.0040430506391139365,-0.42798778473208654,0.11194314823059552,-0.1440393777521269,-0.05361215897688328,-0.5457967261324055,0.6492251077591465,-0.57116044401892,0.4818609835795563,0.6260249749038553,1.0,0.6566170108746286,0.572448635623051,0.433627077879867,-0.7222068916948723,-0.46127405830570506,-0.56447092812726,-0.2590919803188572,-0.3132285414798672,0.043664139836016434,0.2813010673742612,-0.06048793987761493
industry_4,-0.10051158763344349,0.1402888406198775,0.1906750745236062,-0.12268282630721151,-0.28093897321525274,0.08913837388398305,-0.030071695940389012,0.03347268760772973,-0.31099801008056954,0.35184263498718094,-0.44351838205881405,0.15115384739604013,0.3263830623616628,0.6566170108746286,1.0,0.3603038359741196,0.391507633646905,-0.49724326749164904,-0.2485371968165831,-0.4625394491940591,-0.25453305755995786,-0.20495640181091007,-0.05055240442716665,0.13520575903705215,0.02048290158858984
industry_5,-0.481430966791195,0.2402129729490481,0.30706522461352176,-0.12030568815339249,-0.6046239142102148,0.2589841700869151,-0.036712357774101555,-0.27250798587332853,-0.43261206997161156,0.6441563274463511,-0.4398335171657239,0.38862852165073525,0.7100328819276407,0.572448635623051,0.3603038359741196,1.0,0.3598961967910369,-0.5700968321967158,-0.45712170488798143,-0.6044415692194807,-0.5176322104080395,-0.011748992824202402,0.3960724819882383,0.15433943158926483,0.025514607807907035
industry_6,-0.48392628226988627,0.055660428335793925,0.4094743918794579,-0.16090195342994953,-0.4947634517685847,0.11667230893055396,0.5486461981791491,-0.1529984056481746,-0.3693901567275342,0.43173389373972004,-0.32445421822446785,0.1858648423156444,0.43022169887469,0.433627077879867,0.391507633646905,0.3598961967910369,1.0,-0.6795479150045842,-0.4774221574876337,-0.5123892524722463,-0.19661940674167327,-0.13291899003302088,0.18852056275050216,0.4226280490982827,0.03377565168673718
industry_7,0.31174594241460046,-0.015536880454682496,-0.4320238185479843,0.025447176670249032,0.5915961488838739,-0.2510957253492473,-0.2077528940268687,0.012179773777174689,0.6491814554827775,-0.6513438155911024,0.45028395660181636,-0.3699440588993146,-0.6339865420643923,-0.7222068916948723,-0.49724326749164904,-0.5700968321967158,-0.6795479150045842,1.0,0.5696645535109645,0.5409802608606384,0.13969838638133597,0.18608842649826451,-0.32870548857330356,-0.2920912485650481,-0.04878579715594124
industry_8,0.3271602938292713,-0.22037532427533474,-0.4603427817893761,0.3870468526510881,0.7979008178327189,-0.5726971156507076,-0.16546493128622064,0.27440151834377285,0.6361160837416573,-0.7941244706698797,0.4264154669608446,-0.26261530368862435,-0.6692377510376001,-0.46127405830570506,-0.2485371968165831,-0.45712170488798143,-0.4774221574876337,0.5696645535109645,1.0,0.5733070324750433,0.29927719170522327,-0.34642867310183995,-0.48687816446701976,0.10562334120838252,-0.0688225428590036
industry_9,0.5130276275661716,-0.18736498431524135,-0.2792514773922214,0.2477085296006278,0.649285128867521,-0.12323183672904926,0.06960666891386104,0.08431390503800769,0.48438135190176845,-0.6017353043711801,0.40424320301618877,-0.3788826825873076,-0.7005706028184965,-0.56447092812726,-0.4625394491940591,-0.6044415692194807,-0.5123892524722463,0.5409802608606384,0.5733070324750433,1.0,0.21137867329769452,-0.05180689962274315,-0.344834621334879,-0.3324478290871124,-0.19368201470072752
industry_10,0.2688619344102506,-0.3049580766826399,-0.24500685061454633,0.2550874773110567,0.5443059258164809,-0.6006120802341844,-0.039019891768936193,0.42146289796671127,0.4150407725527937,-0.5704150337518228,0.4895827439815944,-0.14089136682632428,-0.46611869089517166,-0.2590919803188572,-0.25453305755995786,-0.5176322104080395,-0.19661940674167327,0.13969838638133597,0.29927719170522327,0.21137867329769452,1.0,-0.5082657659181294,-0.5106682153408384,0.2804047418971509,-0.08793316223358948
industry_11,0.12449910078114015,0.03562548675120898,0.01657354078804469,-0.36682670581040183,-0.43018217846629514,0.6894926452962281,0.027735859189688426,-0.0762891048654784,-0.15342352217403965,0.25886041692982453,0.003693712535747825,-0.306165255263521,-0.00730035328850685,-0.3132285414798672,-0.20495640181091007,-0.011748992824202402,-0.13291899003302088,0.18608842649826451,-0.34642867310183995,-0.05180689962274315,-0.5082657659181294,1.0,0.4834422339890942,-0.6358258908987999,0.004512039087948778
industry_12,-0.3397793817993486,-0.05102157287843467,0.18067113697115164,-0.36724678469196487,-0.6463499563818915,0.5833783718593252,0.19504039034965936,-0.21964079997318653,-0.42937834525065965,0.4791833156648541,-0.10744134001671107,0.04221508334672083,0.4718225898422392,0.043664139836016434,-0.05055240442716665,0.3960724819882383,0.18852056275050216,-0.32870548857330356,-0.48687816446701976,-0.344834621334879,-0.5106682153408384,0.4834422339890942,1.0,-0.22859691967439377,0.2982591332482204
commuting_car,-0.45227345880259084,0.03607344846970933,0.10680259006889369,0.3798685924341608,0.1575555452827016,-0.6615122927180321,-0.009030599043608896,0.02593467223078857,-0.011398644955838153,-0.008817275067017492,-0.1207558223230134,0.30604299468813867,0.20456505089224322,0.2813010673742612,0.13520575903705215,0.15433943158926483,0.4226280490982827,-0.2920912485650481,0.10562334120838252,-0.3324478290871124,0.2804047418971509,-0.6358258908987999,-0.22859691967439377,1.0,-0.04373222997845439
commuting_time,-0.2914968418126211,-0.0730023956403687,0.1829425360759924,-0.22102427737874183,-0.1936445107342893,0.21534549857359986,0.21699943235179794,-0.2238577901091716,-0.23174378799610468,0.034753179341091296,-0.04259276758015344,0.096075642620688,0.23229157975758613,-0.06048793987761493,0.02048290158858984,0.025514607807907035,0.03377565168673718,-0.04878579715594124,-0.0688225428590036,-0.19368201470072752,-0.08793316223358948,0.004512039087948778,0.2982591332482204,-0.04373222997845439,1.0
